연도,시도,시군구,계약종별, 1월, 2월, 3월, 4월, 5월, 6월, 7월, 8월, 9월, 10월, 11월, 12월
2014,충청북도,괴산군,교육용,2582416,2292844,2428293,1845724,1457309,1332041,1524457,1415119,1348009,1553633,2068090,2954684
2014,충청북도,괴산군,산업용,16330775,15172859,16192864,16204947,14792819,14516469,15625178,14582489,14100951,15166721,15223486,16611874
2014,충청북도,괴산군,농사용,4436990,4472529,4006699,3581654,3768441,4619097,4909407,5722678,5429021,4064062,5024940,4386190
2014,충청북도,괴산군,가로등,903124,851100,815216,876572,954855,910950,908775,929212,961062,954499,986499,1043565
2014,충청북도,괴산군,심 야,12527233,12010669,9139315,6618008,3966209,2066588,1351992,1295368,1547599,2701264,6103507,9850356
2014,충청북도,음성군,주택용,10435393,10500508,8972786,9313189,8737042,8812004,8892167,9865543,9280050,8819358,9780610,10379142
2014,충청북도,음성군,일반용,18694247,18103504,16232654,14682162,13307258,13743208,14696236,15836769,14713719,13833176,15612287,18239074
2014,충청북도,음성군,교육용,2133586,2096611,1823573,1598235,1146248,1295066,1203906,1106628,1226434,1298789,1509466,1769341
2014,충청북도,음성군,산업용,166190826,151431576,168707956,160246435,154523923,158286373,169998353,158092300,149514796,157187802,157527919,170828036
2014,충청북도,음성군,농사용,11411559,11352698,9251127,8228471,7231020,7887251,8412447,10029464,9494013,8068311,11570639,10752907
2014,충청북도,음성군,가로등,1130786,1014768,979477,906457,830140,784483,804318,882847,954731,1088436,1174061,1252058
2014,충청북도,음성군,심 야,19971848,19515284,14845627,10743261,6333312,3202696,1983665,1811466,2187549,3912303,9702065,15698066
2014,충청북도,단양군,주택용,3305560,3356233,2930412,3061907,2916437,2879290,2807845,3137583,2990362,2892201,3158242,3202056
2014,충청북도,단양군,일반용,6483857,6235735,5461306,5053857,4742963,4761628,5074770,5794558,5086392,4894356,5391769,6230852
2014,충청북도,단양군,교육용,483412,425580,355733,342594,250138,235208,230392,186745,163125,184913,265239,389942
2014,충청북도,단양군,산업용,94343329,92940776,143196987,144878830,140279346,141079370,115989830,110036645,116334975,147570436,136232695,133779642
2014,충청북도,단양군,농사용,720660,754473,753847,645236,590854,694370,892832,1410444,1738929,1099518,1018477,776677
2014,충청북도,단양군,가로등,674158,631680,662080,686095,755429,736832,633981,694019,756206,769364,752146,787341
2014,충청북도,단양군,심 야,11232335,10905516,8264110,6225959,3806046,2068398,1397186,1351732,1558611,2546288,5567987,8761454
2014,충청북도,청주시,주택용,77264548,77369469,67336210,70603188,66025013,83127279,84769837,94575188,86248485,80244393,87642973,91305718
2014,충청북도,청주시,일반용,107363661,102619261,88016559,83598336,77237309,115426571,128799651,137382431,122403713,107599800,110486366,131478705
2014,충청북도,청주시,교육용,11083138,10453502,9155274,8534876,6154197,9211430,10534388,10069525,9611046,9022999,10443303,15866079
2014,충청북도,청주시,산업용,295930390,271311889,299541830,296001500,310611103,588390377,669316117,628526431,588982794,597315031,575256556,600464347
2014,충청북도,청주시,농사용,1063273,1070788,995260,849840,1253418,10135499,9964106,12508082,12133861,9080083,15389816,10226893
2014,충청북도,청주시,가로등,2839021,2653790,2400948,2318576,2126562,3391662,3348201,3594040,3884079,4259717,4627494,4806701
2014,충청북도,청주시,심 야,48638106,46944961,36367894,26109432,14391277,13192588,10107603,9480128,9918498,13644180,34262363,58510367
2014,충청북도,증평군,주택용,3817462,3634360,3370168,3476805,3270999,3295327,3338007,3733059,3415242,3228334,3532346,3666993
2014,충청북도,증평군,일반용,6134352,6060303,5115575,4837708,4109919,4357302,4605034,5223515,4784369,4220451,4495850,5273725
2014,충청북도,증평군,교육용,475284,443597,410818,441479,321121,324194,380239,360485,313710,322731,358365,491644
2014,충청북도,증평군,산업용,30415148,28992883,30485451,30136675,31356502,30450468,35345966,34511347,31702270,31905616,31623234,33537241
2014,충청북도,증평군,농사용,969883,1019056,890141,829794,697987,772107,854966,1137488,1109769,921854,1530647,1032991
2014,충청북도,증평군,가로등,357471,323607,306466,286054,265829,248343,237273,251689,267501,294813,319502,346974
2014,충청북도,증평군,심 야,4329928,4227617,3317972,2597555,1437142,766729,441011,387321,441519,692183,1725803,3123586
2014,충청남도,아산시,주택용,29781905,29935143,26120688,27414877,25855355,26437662,26614409,29855099,27636533,25885971,30302096,31484818
2014,충청남도,아산시,일반용,58569663,54920638,50117042,46624670,44977320,36836773,41084142,43228065,38468651,36723981,42235815,50026820
2014,충청남도,아산시,교육용,9010690,7940401,7970636,6095310,5419553,5683100,6005704,5208467,5519052,5504219,7062880,10584434
2014,충청남도,아산시,산업용,873917803,799317355,883668289,864096147,876108980,869803694,920682233,903276078,870806626,898346120,878701496,928886792
2014,충청남도,아산시,농사용,9082158,9020243,7825139,7456083,8348218,8740908,8376236,10134596,10368375,8399869,13080242,8581199
2014,충청남도,아산시,가로등,1289885,1203074,1075071,1036632,933229,879292,892203,953373,1026603,1144456,1498927,1593457
2014,충청남도,아산시,심 야,31574194,31072089,24322131,18032123,10628529,5839821,3612051,3202674,3770729,6142095,15046309,24678255
2014,충청남도,보령시,주택용,11191643,11366125,9704539,10285381,9817011,9836125,9848875,10970170,10244796,9590086,10439438,10887721
2014,충청남도,보령시,일반용,22577890,21755551,19015858,18600416,16695985,17221359,19045186,23006753,19501604,17499590,18331994,20964266
2014,충청남도,보령시,교육용,1460942,1269339,1058504,1181298,792350,721222,809249,790733,740620,695996,788460,1234453
2014,충청남도,보령시,산업용,28794897,26919167,28748437,29986134,29598364,30027916,30066573,25176586,26338159,30457488,26887736,32438906
2014,충청남도,보령시,농사용,9195463,9417021,8428357,7867600,8192868,8651464,8823607,11030382,11685451,8793137,17343675,9725574
2014,충청남도,보령시,가로등,1100216,1005874,954423,905553,856955,840444,860072,900916,956903,1072393,1135238,1159048
2014,충청남도,보령시,심 야,22154717,22006557,17326354,13910171,9382293,5698964,3851181,3748413,3907188,5392450,10771861,17231032
2014,충청남도,공주시,주택용,12524912,12646542,10838325,11382174,10733653,10809254,10773187,11959142,11174855,10428200,11376203,11839930
2014,충청남도,공주시,일반용,22862688,22140162,18744635,17705194,15599093,16268874,17456624,19609887,17440641,15812569,17599456,20871518
2014,충청남도,공주시,교육용,3640555,3226000,2856869,2642532,1916375,1975839,2209900,2185844,1955211,1887020,2290421,3532461
2014,충청남도,공주시,산업용,29996571,28319189,30361940,31045219,28893616,29591630,29760400,30174791,29093689,29276338,29934974,31348837
2014,충청남도,공주시,농사용,9191874,9621748,9155526,6538941,5446639,6753282,6794356,8049446,7785195,6454193,11870127,8090085
2014,충청남도,공주시,가로등,1476461,1394280,1329233,1368709,1364786,1339247,1288785,1288624,1336693,1402827,1523571,1564866
2014,충청남도,공주시,심 야,21118160,20983858,16241429,12340015,7615366,4392666,2969110,2789655,3137137,4617608,10174974,16169157
