기준연도,구분,CO2eq_tCO2eq_per_MWh,CO2_tCO2_per_MWh,CH4_kgCH4_per_MWh,N2O_kgN2O_per_MWh,CO2eq_kgCO2eq_per_kWh,비고
2023,소비단,0.4173,0.4149,0.0075,0.0081,0.4173,"2025년 승인 국가 온실가스 배출흡수계수 (환경부/한국환경공단), 소비단 기준"
2021-2023평균,소비단,0.433,0.4307,0.0057,0.0082,0.433,"2025년 승인 국가 온실가스 배출흡수계수 (환경부/한국환경공단), 소비단 기준"
