year,month,headquarter,hour_count,load_MWh,electricity_cost_won,emission_tCO2eq,emission_kgCO2eq
2022,6,인천본부,720,2439017,181199297700.0,1017801.7941,1017801794.1
2022,6,전북본부,720,1465411,107304889200.0,611516.0103,611516010.3
2022,6,제주본부,720,427155,31666793700.0,178251.7815,178251781.5
2022,6,충북본부,720,2097357,153487610100.0,875227.0761000001,875227076.1
2022,7,강원본부,744,1310225,133662644600.0,546756.8925,546756892.5
2022,7,경기본부,744,8152275,852579504900.0,3401944.3575,3401944357.5
2022,7,경기북부본부,744,2176268,230735650700.0,908156.6364,908156636.4
2022,7,경남본부,744,2057999,216214991500.0,858802.9827,858802982.7
2022,7,경북본부,744,1281273,131161505900.0,534675.2229,534675222.9
2022,7,광주전남본부,744,3098081,318909318900.0,1292829.2013,1292829201.3
2022,7,남서울본부,744,2382558,258273804200.0,994241.4534,994241453.4
2022,7,대구본부,744,3059198,320833421900.0,1276603.3254,1276603325.4
2022,7,대전세종충남본부,744,5213384,536619848100.0,2175545.1432,2175545143.2
2022,7,부산울산본부,744,5254052,542180194200.0,2192515.8996,2192515899.6
2022,7,서울본부,744,1800102,195019710100.0,751182.5646,751182564.6
2022,7,인천본부,744,2909982,309390603100.0,1214335.4886,1214335488.6
2022,7,전북본부,744,1619161,167129899000.0,675675.8853,675675885.3
2022,7,제주본부,744,526671,55608683200.0,219779.8083,219779808.3
2022,7,충북본부,744,2341267,241221507700.0,977010.7191,977010719.1
2022,8,강원본부,744,1286981,130872691300.0,537057.1713,537057171.3
2022,8,경기본부,744,7965822,831458632600.0,3324137.5206,3324137520.6
2022,8,경기북부본부,744,2126960,224962901700.0,887580.408,887580408.0
2022,8,경남본부,744,1970446,207550760400.0,822267.1158,822267115.8
2022,8,경북본부,744,1256301,128496509900.0,524254.4073,524254407.3
2022,8,광주전남본부,744,3087729,317926358600.0,1288509.3117,1288509311.7
2022,8,남서울본부,744,2330859,252060697200.0,972667.4607,972667460.7
2022,8,대구본부,744,2973091,311813252100.0,1240670.8743,1240670874.3
2022,8,대전세종충남본부,744,5085205,523702053400.0,2122056.0465,2122056046.5
2022,8,부산울산본부,744,5187159,535966696600.0,2164601.4507,2164601450.7
2022,8,서울본부,744,1741675,188202149400.0,726800.9775,726800977.5
2022,8,인천본부,744,2798218,297079479800.0,1167696.3714,1167696371.4
2022,8,전북본부,744,1560177,161423214600.0,651061.8621,651061862.1
2022,8,제주본부,744,550943,58341439200.0,229908.5139,229908513.9
2022,8,충북본부,744,2266606,233403388100.0,945854.6838,945854683.8
2022,9,강원본부,720,1176309,85287293400.0,490873.7457,490873745.7
2022,9,경기본부,720,7073679,521270758200.0,2951846.2467,2951846246.7
2022,9,경기북부본부,720,1804853,133882495500.0,753165.1569000001,753165156.9
2022,9,경남본부,720,1745841,128929558500.0,728539.4493,728539449.3
2022,9,경북본부,720,1066333,77651714700.0,444980.7609,444980760.9
2022,9,광주전남본부,720,2725026,199254167700.0,1137153.3498,1137153349.8
2022,9,남서울본부,720,1874127,140768739300.0,782073.1971,782073197.1
2022,9,대구본부,720,2496821,184344958800.0,1041923.4033,1041923403.3
2022,9,대전세종충남본부,720,4600171,336959070300.0,1919651.3583,1919651358.3
2022,9,부산울산본부,720,4620164,337898976600.0,1927994.4372,1927994437.2
2022,9,서울본부,720,1399308,105178303200.0,583931.2284,583931228.4
2022,9,인천본부,720,2408954,179024181300.0,1005256.5042,1005256504.2
2022,9,전북본부,720,1394836,102204057300.0,582065.0628,582065062.8
2022,9,제주본부,720,424065,31465074300.0,176962.3245,176962324.5
2022,9,충북본부,720,2055494,150205645800.0,857757.6462,857757646.2
2022,10,강원본부,744,1131536,82057245300.0,472189.9728,472189972.8
2022,10,경기본부,744,6593223,484113000900.0,2751351.9579,2751351957.9
2022,10,경기북부본부,744,1762587,130076303400.0,735527.5551,735527555.1
2022,10,경남본부,744,1688336,123868443300.0,704542.6128,704542612.8
2022,10,경북본부,744,1053340,76449847800.0,439558.782,439558782.0
2022,10,광주전남본부,744,2623996,191060364900.0,1094993.5308,1094993530.8
2022,10,남서울본부,744,1548525,115695022800.0,646199.4825,646199482.5
2022,10,대구본부,744,2607429,191635475100.0,1088080.1217,1088080121.7
2022,10,대전세종충남본부,744,4563540,332427682200.0,1904365.242,1904365242.0
2022,10,부산울산본부,744,4362928,317430761700.0,1820649.8544,1820649854.4
2022,10,서울본부,744,1230929,92097727500.0,513666.6717,513666671.7
2022,10,인천본부,744,2168848,160530447600.0,905060.2704,905060270.4
2022,10,전북본부,744,1320574,96175303800.0,551075.5302,551075530.2
2022,10,제주본부,744,354765,26179607400.0,148043.4345,148043434.5
2022,10,충북본부,744,1970328,143466759900.0,822217.8744,822217874.4
2022,11,강원본부,720,1192972,116486403900.0,497827.2156,497827215.6
2022,11,경기본부,720,6800495,678537403200.0,2837846.5635,2837846563.5
2022,11,경기북부본부,720,1847501,185426803300.0,770962.1673,770962167.3
2022,11,경남본부,720,1796321,177832353600.0,749604.7533,749604753.3
2022,11,경북본부,720,1049278,103088642000.0,437863.7094,437863709.4
2022,11,광주전남본부,720,2618105,258358700400.0,1092535.2165,1092535216.5
2022,11,남서울본부,720,1612681,164630339400.0,672971.7813,672971781.3
2022,11,대구본부,720,2684438,267654418500.0,1120215.9774,1120215977.4
2022,11,대전세종충남본부,720,4572257,451234404800.0,1908002.8461,1908002846.1
2022,11,부산울산본부,720,4366220,430220544900.0,1822023.606,1822023606.0
2022,11,서울본부,720,1276356,130390137099.99998,532623.3588,532623358.8
2022,11,인천본부,720,2357378,237567245300.0,983733.8394,983733839.4
2022,11,전북본부,720,1363144,134427228699.99998,568839.9912,568839991.2
2022,11,제주본부,720,397330,39723149200.0,165805.809,165805809.0
2022,11,충북본부,720,2073407,204320115900.0,865232.7411,865232741.1
2022,12,강원본부,744,1497618,145451681500.0,624955.9914,624955991.4
2022,12,경기본부,744,8038387,802758888900.0,3354418.8951,3354418895.1
2022,12,경기북부본부,744,2251839,226035416100.0,939692.4147,939692414.7
2022,12,경남본부,744,2150108,212572487600.0,897240.0684,897240068.4
2022,12,경북본부,744,1203451,118421275900.0,502200.1023,502200102.3
2022,12,광주전남본부,744,3048240,301207168400.0,1272030.552,1272030552.0
2022,12,남서울본부,744,2188363,224414943200.0,913203.8799,913203879.9
2022,12,대구본부,744,3071484,307014540900.0,1281730.2732,1281730273.2
2022,12,대전세종충남본부,744,5358966,529909352100.0,2236296.5118,2236296511.8
2022,12,부산울산본부,744,4962543,490886559900.0,2070869.1939,2070869193.9
2022,12,서울본부,744,1693862,173644528600.0,706848.6126,706848612.6
2022,12,인천본부,744,2955146,298960161500.0,1233182.4258,1233182425.8
2022,12,전북본부,744,1622289,160249673600.0,676981.1997,676981199.7
2022,12,제주본부,744,510994,50973429400.0,213237.7962,213237796.2
